Title: List of Buildings in 5-County Region with 100 or more eviction filings since 4/1/2020 (as of 12/30/2023)
Source: Atlanta Region Eviction Tracker - https://metroatlhousing.org/atlanta-region-eviction-tracker

Street,City,Zip,countyFIPS,tractID,Filings in Jan 2020,Filings in Feb 2020,Filings in Mar 2020,Filings in Apr 2020,Filings in May 2020,Filings in Jun 2020,Filings in Jul 2020,Filings in Aug 2020,Filings in Sep 2020,Filings in Oct 2020,Filings in Nov 2020,Filings in Dec 2020,Filings in Jan 2021,Filings in Feb 2021,Filings in Mar 2021,Filings in Apr 2021,Filings in May 2021,Filings in Jun 2021,Filings in Jul 2021,Filings in Aug 2021,Filings in Sep 2021,Filings in Oct 2021,Filings in Nov 2021,Filings in Dec 2021,Filings in Jan 2022,Filings in Feb 2022,Filings in Mar 2022,Filings in Apr 2022,Filings in May 2022,Filings in Jun 2022,Filings in Jul 2022,Filings in Aug 2022,Filings in Sep 2022,Filings in Oct 2022,Filings in Nov 2022,Filings in Dec 2022,Filings in Jan 2023,Filings in Feb 2023,Filings in Mar 2023,Filings in Apr 2023,Filings in May 2023,Filings in Jun 2023,Filings in Jul 2023,Filings in Aug 2023,Filings in Sep 2023,Filings in Oct 2023,Filings in Nov 2023,Filings in Dec 2023,Filings in Jan 2024
"228 MORROW RD","FOREST PARK","30297","063","13063040306",27,27,8,0,0,0,0,0,5,14,20,22,8,12,5,10,0,25,9,22,11,6,30,25,16,1,12,40,17,0,5,9,20,11,26,17,30,0,16,5,0,18,11,30,14,12,15,13,0
"3515 PLEASANTDALE RD","DORAVILLE","30340","089","13089021814",20,21,19,2,8,3,14,19,12,8,13,4,20,11,10,12,8,16,13,0,0,29,10,9,14,10,10,14,15,15,18,13,5,19,9,20,14,11,15,12,11,15,13,16,5,7,7,8,0
"1900 TREE MOUNTAIN PKWY","STONE MOUNTAIN","30083","089","13089021913",0,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,29,29,39,30,26,0,0,0,0,36,37,66,43,12,46,43,22,35,34,54,54,60,61,46,40,48,0
"2121 WINDY HILL RD","MARIETTA","30060","067","13067031113",5,33,23,1,0,0,0,0,18,10,9,14,6,2,8,0,9,5,5,8,13,2,17,15,91,9,4,10,12,7,10,15,11,18,7,11,11,9,10,14,11,0,15,7,11,9,10,11,0
"7545 TARA RD","JONESBORO","30236","063","13063040611",5,17,4,0,0,0,0,0,16,16,14,11,13,14,18,14,17,9,16,9,0,27,19,6,15,0,19,14,10,18,18,17,18,14,12,17,28,15,11,20,23,25,26,20,20,10,30,24,0
"2050 AUSTELL RD SW","MARIETTA","30008","067","13067031002",38,8,10,0,0,0,0,1,12,37,11,16,7,1,17,12,2,8,8,0,26,21,25,21,9,14,7,0,8,15,0,33,6,8,0,12,16,16,7,0,19,27,8,16,9,17,15,13,0
"2350 COBB PKWY SE","SMYRNA","30080","067","13067031114",16,29,13,0,0,1,0,0,11,10,9,0,12,8,11,1,5,56,0,25,21,14,11,3,22,0,11,7,1,14,17,14,13,7,0,30,18,18,6,17,14,4,28,0,26,16,15,13,0
"6850 MABLETON PKWY SE","MABLETON","30126","067","13067031311",0,11,0,0,0,0,0,0,0,0,0,0,16,9,12,19,14,6,19,10,24,18,11,14,20,10,18,11,8,1,24,19,30,34,21,19,21,22,12,26,13,18,31,30,18,25,12,19,0
"2445 REX RD","ELLENWOOD","30294","063","13063040409",16,24,12,0,0,0,0,10,6,7,9,29,15,0,0,18,0,0,0,6,2,0,0,0,1,25,51,17,10,9,0,50,15,27,1,11,26,18,46,11,0,0,36,1,16,8,6,7,0
"1355 GRAVES RD","NORCROSS","30093","135","13135050417",24,16,13,18,0,0,14,1,9,11,27,22,13,14,6,11,0,5,0,6,0,0,13,12,0,9,12,14,12,10,12,24,19,10,14,7,7,5,8,10,5,11,12,3,7,9,4,8,0
"4370 SATELLITE BLVD","DULUTH","30096","135","13135050314",10,10,7,0,0,0,0,6,27,0,22,15,14,21,7,7,9,11,12,6,18,0,17,1,22,10,10,6,12,21,14,10,12,8,11,9,12,5,9,10,8,13,10,11,4,6,9,6,0
"980 WALTHER BLVD","LAWRENCEVILLE","30043","135","13135050523",24,23,14,0,0,0,0,1,11,15,11,12,10,7,5,10,11,11,20,1,29,15,27,0,12,0,0,1,0,0,0,24,14,35,19,37,33,24,31,32,34,17,35,25,34,28,28,30,0
"875 FRANKLIN GTWY SE","MARIETTA","30067","067","13067030411",15,21,14,0,0,0,9,18,8,4,14,26,12,0,4,0,0,6,10,12,17,12,15,20,20,9,0,3,7,8,0,22,7,26,7,12,12,17,7,16,14,14,11,16,17,12,7,13,0
"2560 DELK RD SE","MARIETTA","30067","067","13067030413",19,14,6,0,0,0,0,5,16,15,16,0,20,13,12,16,16,19,15,14,5,8,4,0,17,17,5,9,13,4,12,4,9,13,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0
"4233 JONESBORO RD","FOREST PARK","30297","063","13063040302",19,11,0,0,0,0,0,0,1,10,12,0,0,15,0,10,0,12,16,0,44,16,18,5,18,16,20,11,0,29,22,19,0,1,28,20,18,18,21,11,0,32,0,0,20,11,14,0,0
"8104 WEBB RD","RIVERDALE","30274","063","13063040515",23,19,14,0,0,0,0,0,20,15,11,5,8,10,0,20,0,22,15,9,15,1,21,18,14,0,3,35,1,0,0,24,1,0,23,34,5,28,18,8,5,12,30,17,32,13,11,44,0
"6660 MABLETON PKWY SE","MABLETON","30126","067","13067031311",50,22,4,7,0,0,0,0,0,0,53,4,0,0,0,0,0,0,0,0,1,1,0,17,78,0,1,0,15,22,10,4,13,17,9,11,1,17,17,5,1,12,16,17,22,20,19,10,0
"750 SIX FLAGS RD","AUSTELL","30168","067","13067031310",52,16,27,0,0,0,0,0,0,1,1,1,1,1,9,1,7,12,11,6,30,14,14,13,7,14,2,21,12,23,14,0,1,0,6,13,14,16,8,17,10,21,22,16,21,18,10,16,0
"4305 PAXTON LN SW","LILBURN","30047","135","13135050714",13,10,9,0,0,0,0,0,0,0,16,10,7,9,8,5,10,5,6,11,18,8,15,10,11,17,10,10,15,9,16,19,13,12,17,9,17,12,14,9,1,12,9,17,0,23,14,11,0
"2070 LAKE HARBIN RD","MORROW","30260","063","13063040408",0,30,9,0,0,0,0,0,18,1,6,11,9,4,3,0,7,7,5,9,19,8,0,39,0,13,3,13,21,11,10,11,18,14,8,10,7,7,7,6,13,1,21,9,5,8,13,9,0
"1716 TERRELL MILL RD SE","MARIETTA","30067","067","13067030414",18,20,10,0,0,0,0,0,18,8,7,7,22,9,12,10,15,9,13,15,12,7,6,14,7,6,3,0,11,7,5,9,8,8,2,12,3,7,4,8,3,5,10,6,7,14,1,6,0
"2255 SATELLITE BLVD","DULUTH","30097","135","13135050217",11,4,1,0,0,0,0,0,0,6,11,4,9,7,7,5,10,4,2,5,11,10,13,7,19,0,24,11,18,20,10,18,16,19,15,9,0,22,0,11,14,1,0,17,22,9,9,0,0
"1675 ROSWELL RD","MARIETTA","30062","067","13067030505",13,11,9,0,0,0,0,7,1,4,1,0,6,0,15,7,9,7,7,11,6,7,8,15,16,10,4,13,16,17,16,16,0,26,0,0,0,0,10,3,0,0,1,0,0,10,9,19,0
"1335 HERRINGTON RD","DULUTH","30096","135","13135050537",0,12,11,0,0,0,0,0,7,2,6,9,5,5,6,5,0,13,7,12,10,5,7,8,0,8,19,3,0,18,30,24,24,18,19,19,26,24,19,22,19,11,22,0,5,6,1,6,0
"500 WILLIAMS DR","MARIETTA","30066","067","13067030506",17,14,10,0,0,1,0,10,10,6,6,10,13,6,5,9,13,3,0,8,15,14,9,0,21,11,3,9,9,2,7,10,9,13,6,11,7,9,7,10,11,21,8,9,10,0,12,9,0
"5801 RIVERDALE RD","COLLEGE PARK","30349","063","13063040510",10,14,7,0,0,0,4,0,0,14,18,25,9,7,0,0,0,0,0,55,6,12,3,13,11,2,6,11,5,8,10,8,3,9,0,0,0,0,25,11,0,12,16,8,7,4,5,6,0
"1525 GRAYSON HWY","GRAYSON","30017","135","13135050724",16,8,6,0,0,0,0,2,3,1,7,9,7,8,9,5,6,16,9,12,9,9,13,4,8,10,9,14,13,7,9,15,10,15,13,9,12,9,0,13,10,10,11,10,9,6,6,4,0
"1650 ANDERSON MILL RD","AUSTELL","30106","067","13067031406",11,9,10,0,1,1,0,0,6,1,1,0,0,6,4,5,3,0,5,0,20,20,17,6,24,13,10,14,13,15,17,14,4,18,16,11,0,0,15,22,0,17,20,7,0,22,20,6,0
"1000 BARONE AVE NE","ATLANTA","30329","089","13089021414",17,11,6,0,0,0,0,1,9,7,8,4,5,6,8,3,7,3,4,0,18,18,18,22,0,16,5,13,0,0,15,19,13,11,0,0,8,11,15,8,0,9,11,7,1,17,22,21,0
"2500 PLEASANT HILL RD","DULUTH","30096","135","13135050209",8,12,7,0,0,10,6,6,5,2,16,10,10,10,3,3,7,5,0,2,0,0,7,0,11,24,6,8,9,14,13,16,16,17,11,8,14,14,11,8,9,12,8,12,6,16,12,8,0
"3156 MT ZION RD","STOCKBRIDGE","30281","063","13063040616",7,4,5,0,0,0,0,0,19,6,9,9,21,11,3,6,11,11,9,0,9,11,0,33,0,0,0,3,28,6,23,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2151 CUMBERLAND PKWY SE","ATLANTA","30339","067","13067031211",15,8,8,0,0,6,12,3,9,10,10,8,12,5,3,5,4,3,7,8,9,6,13,10,8,1,17,2,21,2,10,13,0,11,10,3,5,0,11,3,13,2,4,3,0,1,0,0,0
"1401 N HAIRSTON RD","STONE MOUNTAIN","30083","089","13089021911",16,12,7,0,0,0,0,28,13,7,17,0,12,7,0,16,10,15,0,0,0,0,0,46,12,0,0,0,0,9,0,4,12,14,4,7,27,10,8,4,9,14,14,0,5,0,13,44,0
"3110 MT ZION RD","STOCKBRIDGE","30281","063","13063040616",20,13,10,0,0,12,15,0,0,8,12,12,6,8,0,0,12,12,4,15,6,7,0,18,0,0,15,1,11,11,6,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6256 HILLANDALE DR","LITHONIA","30058","089","13089023310",19,15,6,8,5,5,7,10,7,10,4,11,10,8,10,9,7,6,15,0,0,0,0,1,0,30,10,6,2,0,0,23,3,9,34,4,2,21,18,6,2,16,5,12,10,4,6,3,0
"6750 PEACHTREE INDUSTRIAL BLVD","ATLANTA","30360","089","13089021305",8,6,5,0,0,0,0,5,5,9,0,5,0,0,3,2,4,9,7,10,38,21,10,17,12,18,0,0,12,13,8,12,1,14,6,8,10,14,11,13,9,0,19,13,10,0,0,1,0
"1400 HERRINGTON RD","LAWRENCEVILLE","30044","135","13135050534",10,11,9,15,7,4,7,2,10,8,6,6,6,11,4,6,2,4,12,10,7,7,5,8,8,10,8,5,6,4,8,5,11,12,9,7,10,8,0,11,5,15,9,8,9,9,5,6,0
"240 FLINT RIVER RD","JONESBORO","30238","063","13063040518",13,7,21,0,0,1,11,8,10,7,1,0,1,8,4,10,0,17,16,18,0,1,10,10,10,1,8,9,9,7,6,1,11,14,10,4,10,6,6,8,9,3,8,0,0,4,2,0,0
"1000 MONTAGE WAY","ATLANTA","30341","089","13089021705",15,7,6,0,0,0,0,0,12,8,10,10,14,8,16,4,9,12,6,7,7,13,15,10,15,4,6,5,8,2,10,1,5,4,7,7,4,10,0,2,3,0,2,3,2,2,8,0,0
"1048 FLAT SHOALS RD","COLLEGE PARK","30349","063","13063040520",17,22,11,0,0,0,0,0,0,0,21,24,27,0,0,0,0,0,10,8,15,1,29,0,1,0,8,22,9,0,0,16,5,2,0,0,1,30,3,10,1,2,30,16,14,0,10,15,0
"1740 CENTURY CIR NE","ATLANTA","30345","089","13089021410",5,6,4,0,0,0,0,3,6,8,5,1,4,5,5,6,4,0,2,10,11,12,11,3,17,17,7,13,7,7,21,12,18,13,7,11,16,15,0,16,1,6,1,7,0,5,11,5,0
"6711 CHURCH ST","RIVERDALE","30274","063","13063040512",15,6,8,1,0,0,0,8,18,11,16,12,5,9,7,8,0,0,0,0,0,0,0,0,1,0,19,9,19,11,14,0,35,10,0,9,21,17,6,0,7,21,21,7,21,12,0,15,0
"985 MT ZION RD","MORROW","30260","063","13063040417",4,5,1,0,0,0,0,0,26,8,5,18,14,8,10,8,13,7,16,11,11,11,0,0,0,0,8,10,18,3,10,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"269 STATE RTE 138","RIVERDALE","30274","063","13063040524",16,14,15,0,0,0,0,1,4,7,24,6,16,13,2,6,5,0,13,15,0,0,7,15,15,0,1,5,9,4,5,5,6,8,6,9,8,9,4,4,1,6,15,7,4,12,8,12,0
"6136 HILLANDALE DR","LITHONIA","30058","089","13089023310",19,14,10,10,7,11,9,9,13,13,8,10,13,19,0,0,0,0,0,0,3,6,1,0,0,18,6,4,6,0,9,9,4,6,3,0,7,10,8,6,1,6,3,7,7,4,0,10,0
"1000 DULUTH HWY","LAWRENCEVILLE","30043","135","13135050540",16,9,5,0,0,0,0,5,0,8,8,6,6,8,4,2,6,2,2,2,11,1,7,0,4,7,8,7,17,16,24,19,11,12,12,10,18,10,8,10,14,15,12,8,10,13,17,11,0
"1557 TERRELL MILL RD","MARIETTA","30067","067","13067030344",17,14,11,0,0,0,0,0,6,9,3,7,13,5,4,8,1,0,0,21,0,23,7,0,13,4,8,0,19,0,16,14,9,0,0,24,0,30,8,9,0,15,15,15,20,11,13,10,0
"3250 SWEETWATER RD","LAWRENCEVILLE","30044","135","13135050541",13,13,9,0,0,1,12,10,5,5,6,7,12,4,7,4,8,3,7,9,7,6,5,7,5,6,2,5,9,8,12,8,5,10,6,8,8,5,0,5,13,10,8,13,6,16,6,9,0
"1000 LAKE REGENCY DR","COLLEGE PARK","30349","063","13063040520",18,26,18,0,0,0,0,0,24,8,13,16,4,11,0,0,14,1,2,9,7,1,19,0,0,1,6,0,11,3,7,5,5,0,0,0,0,7,0,1,1,1,16,2,6,1,5,9,0
"3079 HIDDEN FOREST CT","MARIETTA","30066","067","13067030228",25,16,2,0,0,0,0,0,0,0,1,0,0,15,6,19,0,4,4,4,15,12,7,11,20,12,7,9,7,8,17,3,1,3,9,3,21,8,5,4,7,17,21,8,1,16,4,0,0
"2383 AKERS MILL RD SE","ATLANTA","30339","067","13067030339",8,4,3,0,0,0,0,1,1,11,16,1,5,0,11,4,2,0,12,4,0,0,7,0,0,18,10,1,12,16,20,19,23,17,20,20,8,18,9,21,13,17,22,21,0,23,16,11,0
"1900 GLENN CLUB DR","STONE MOUNTAIN","30087","135","13135050430",14,14,10,0,0,0,0,0,11,7,8,9,7,0,3,9,3,4,8,4,1,11,6,5,14,8,10,0,11,8,14,9,8,8,9,11,12,8,0,8,0,14,16,12,14,15,14,14,0
"276 UPPER RIVERDALE RD","JONESBORO","30236","063","13063040415",11,13,2,0,0,0,0,0,0,10,4,3,2,8,3,12,0,13,6,3,1,1,32,5,20,0,0,5,22,11,18,9,6,4,14,5,17,14,2,3,0,3,7,19,2,5,4,11,0
"634 ROY HUIE RD","RIVERDALE","30274","063","13063040522",14,13,7,0,0,0,0,0,25,4,14,8,4,5,6,5,1,0,0,7,20,1,4,14,2,0,6,4,7,7,7,12,11,16,3,12,0,10,1,14,13,11,10,10,16,9,12,12,0
"701 MT ZION RD","JONESBORO","30236","063","13063040417",21,29,22,0,0,0,0,0,2,0,1,5,8,17,5,1,0,0,0,0,0,0,0,0,0,5,45,0,4,18,14,21,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3920 CLUB DR","DULUTH","30096","135","13135050526",7,7,7,0,0,0,0,1,0,6,7,8,9,2,13,4,3,8,6,10,8,7,8,4,11,12,5,8,9,12,13,14,6,6,6,4,4,4,2,13,7,9,7,5,12,15,9,18,0
"2951 SATELLITE BLVD NW","DULUTH","30096","135","13135050215",16,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,8,0,17,11,13,13,7,9,10,12,7,9,6,13,12,6,10,6,0,12,3,2,4,2,1,3,1,2,1,3,0
"5758 HIGHWAY 85","RIVERDALE","30274","063","13063040522",8,20,1,0,0,1,0,16,36,10,18,19,12,13,0,0,0,0,0,1,12,19,28,0,0,0,1,0,1,0,1,1,0,0,0,0,0,12,0,0,22,17,5,17,3,6,18,0,0
"2571 CANDLER RD","DECATUR","30032","089","13089023603",0,0,34,0,3,0,0,5,1,0,0,11,1,0,0,0,8,1,11,0,13,11,6,14,7,7,7,14,13,3,25,11,4,5,7,6,12,9,5,8,15,11,0,14,2,10,2,0,0
"1930 FLAT SHOALS RD SE","ATLANTA","30316","089","13089020900",11,8,6,0,0,0,0,0,1,0,17,9,6,5,3,22,0,0,0,3,2,0,0,18,12,21,8,13,0,7,8,15,19,0,0,1,31,13,9,6,10,16,32,8,7,5,7,4,0
"330 ARROWHEAD BLVD","JONESBORO","30236","063","13063040415",5,36,0,0,0,0,0,0,6,10,1,0,50,0,0,0,0,0,0,0,0,0,0,2,1,1,6,13,5,0,2,2,55,11,2,17,80,0,4,19,6,9,7,14,2,14,4,4,0
"2759 DELK RD SE","MARIETTA","30067","067","13067030405",22,4,6,0,0,0,19,5,11,3,5,14,11,10,8,10,9,7,4,7,11,8,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5100 W MOUNTAIN ST","STONE MOUNTAIN","30083","089","13089021907",12,11,8,0,0,0,0,0,0,3,4,12,3,3,2,3,1,6,8,8,3,3,12,8,10,0,0,0,12,15,19,20,5,15,9,5,2,0,8,12,9,12,22,14,7,9,16,0,0
"2929 PANTHERSVILLE RD","DECATUR","30034","089","13089023410",7,0,6,0,0,0,0,0,0,31,0,5,10,0,0,12,22,12,5,0,0,6,25,0,0,3,9,12,1,8,8,12,3,7,5,6,8,0,3,7,3,5,0,3,4,0,9,0,0
"6668 MT ZION BLVD","MORROW","30260","063","13063040413",13,14,6,0,0,0,0,0,17,8,9,3,10,10,3,6,6,0,0,0,0,0,14,0,5,15,7,8,15,9,10,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2345 COBB PKWY SE","SMYRNA","30080","067","13067030345",21,18,17,0,0,0,0,6,0,0,0,0,0,0,0,12,0,9,9,0,23,0,6,0,12,8,6,8,5,9,0,18,9,7,0,12,4,0,4,6,15,19,11,13,9,4,16,11,0
"400 BELMONT PL SE","SMYRNA","30080","067","13067031101",8,7,7,0,0,0,0,11,7,6,10,2,3,7,1,7,6,6,5,6,7,6,8,0,16,10,3,8,5,5,12,9,10,5,7,6,8,8,4,9,5,4,5,5,9,4,3,2,0
"501 ROBERTS DR","RIVERDALE","30274","063","13063040524",11,7,3,0,0,0,0,0,0,6,9,0,17,7,3,7,0,17,8,14,1,3,3,6,5,4,0,7,17,6,0,17,16,9,5,10,9,12,5,14,0,26,1,12,4,12,5,8,0
"302 MORROW RD","FOREST PARK","30297","063","13063040306",17,14,9,0,0,0,0,0,4,14,7,13,3,8,3,7,0,12,13,10,8,2,17,27,13,0,0,0,0,0,0,1,0,0,0,4,1,0,10,2,0,11,6,7,6,9,5,3,0
"2924 CLAIRMONT RD NE","ATLANTA","30329","089","13089021414",15,10,9,0,0,0,0,0,10,8,0,4,6,7,6,6,1,0,0,0,7,17,11,10,0,9,6,5,0,0,21,9,14,10,0,0,11,4,16,4,0,4,11,16,4,13,9,11,0
"1250 POWDER SPRINGS RD SW","MARIETTA","30064","067","13067030901",10,6,10,0,0,0,0,0,0,0,17,3,9,12,6,5,3,4,7,0,0,10,0,0,1,14,4,0,21,19,8,9,13,9,10,12,11,14,14,11,15,17,17,28,10,14,12,15,0
"1780 GRAVES RD","NORCROSS","30093","135","13135050418",21,31,18,0,0,0,0,0,5,4,1,6,3,0,4,2,0,2,0,0,0,1,0,0,0,0,4,28,8,7,11,12,16,15,13,0,16,12,8,5,7,4,9,0,7,20,7,12,0
"3400 CLUB LAKES PKWY","LAWRENCEVILLE","30044","135","13135050524",15,17,9,0,0,0,0,5,15,1,6,10,3,2,3,2,4,6,4,1,4,4,6,4,26,2,4,5,0,16,7,4,9,6,2,5,8,8,3,7,3,9,0,0,0,0,0,2,0
"2795 EVANS MILL RD","LITHONIA","30058","089","13089023310",13,11,0,0,0,0,0,0,1,0,0,16,0,5,11,1,0,0,0,8,12,2,5,0,5,3,0,1,0,13,11,34,22,25,13,1,24,1,11,16,20,24,14,21,1,2,36,21,0
"2105 MESA VALLEY WAY","AUSTELL","30106","067","13067031406",1,23,6,0,0,0,0,5,0,7,14,12,6,9,4,4,5,5,8,5,16,5,0,12,0,0,8,0,11,2,8,4,11,6,6,4,9,5,5,6,4,7,7,7,1,2,1,4,0
"2300 COUNTRY WALK","SNELLVILLE","30039","135","13135050729",9,16,11,0,0,0,0,2,3,0,0,0,3,1,0,3,0,6,4,4,14,8,0,4,15,10,7,4,8,11,13,11,14,15,7,11,8,10,2,14,12,9,14,6,14,9,10,7,0
"1951 SOUTHAMPTON RD","COLLEGE PARK","30349","063","13063040203",0,0,0,0,0,0,0,0,14,1,0,0,0,0,12,3,2,0,8,3,22,12,19,23,7,0,8,4,12,5,7,16,16,0,19,1,18,15,7,10,2,15,0,0,0,17,20,0,0
"6726 TARA BLVD","JONESBORO","30236","063","13063040417",0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,16,0,0,0,0,0,23,15,30,17,17,10,33,1,26,16,10,0,13,1,0,6,38,31,10,10,8,9,0
"225 JOHNSON RD","FOREST PARK","30297","063","13063040306",16,20,8,0,0,0,0,0,2,9,8,6,5,8,3,2,0,9,5,8,8,2,12,17,7,0,0,11,10,0,4,5,3,5,1,7,2,0,9,0,0,12,3,15,13,7,11,5,0
"3450 BRECKINRIDGE BLVD","DULUTH","30096","135","13135050542",8,9,2,0,0,0,0,4,5,9,9,9,3,8,5,6,1,2,7,1,0,1,1,0,11,3,10,0,0,0,15,29,15,20,28,6,11,11,18,9,14,0,0,3,3,7,3,1,0
"1695 GRAVES RD","NORCROSS","30093","135","13135050417",8,12,7,0,0,0,0,0,16,3,6,9,3,8,5,5,6,5,8,11,4,5,5,4,3,4,3,8,2,9,10,12,11,0,15,9,5,0,28,20,19,15,26,14,11,17,0,13,0
"1875 E PLEASANT HILL RD","COLLEGE PARK","30349","063","13063040203",22,20,19,0,0,0,8,3,0,1,5,16,5,3,3,1,0,1,0,3,25,4,3,4,2,2,2,3,7,9,9,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2650 BENTLEY RD SE","MARIETTA","30067","067","13067030413",8,11,6,0,0,0,0,0,1,0,1,1,0,5,16,16,25,11,13,5,15,11,14,4,14,0,0,0,0,0,13,0,0,1,5,0,0,0,5,0,0,14,0,20,0,17,8,4,0
"3350 SWEETWATER RD","LAWRENCEVILLE","30044","135","13135050541",8,11,12,0,2,0,11,5,7,10,3,8,8,2,7,4,4,4,5,3,8,4,4,5,12,4,4,3,8,3,7,5,5,5,7,10,8,8,1,4,6,6,7,4,7,5,2,12,0
"2001 GODBY RD","COLLEGE PARK","30349","063","13063040203",25,6,12,0,0,0,0,0,0,0,0,16,1,0,0,0,0,18,0,2,19,12,14,9,6,0,12,8,7,4,7,5,4,2,12,2,15,6,2,9,0,11,0,0,0,0,19,1,0
"5724 RIVERDALE RD","COLLEGE PARK","30349","063","13063040520",14,18,7,0,0,0,0,0,15,9,5,16,3,14,0,0,14,2,2,10,8,0,11,0,0,0,15,0,5,5,5,6,5,0,0,0,0,10,0,1,0,0,10,3,8,5,1,2,0
"746 GARDEN WALK BLVD","COLLEGE PARK","30349","063","13063040519",8,10,0,0,0,8,1,0,10,7,8,0,7,3,3,1,5,7,1,3,13,1,2,12,8,1,18,7,14,0,9,8,1,12,0,9,5,4,6,8,7,0,12,8,2,5,18,8,0
