Country,Region,Year,Alcohol_consumption,BMI,GDP_per_capita,Population_mln,Schooling,Economy_status_Developed,Life_expectancy
Czechia,European Union,2001,13.64,26.5,12735,10.22,10.9,1,75.2
Tonga,Oceania,2002,1.5,31.4,3952,0.1,9.1,0,69.8
"Congo, Rep.",Africa,2001,0.9,22.1,2080,3.22,5.6,0,52.5
Slovenia,European Union,2010,10.33,26.1,20613,2.05,12.1,1,79.4
Gabon,Africa,2001,9.27,23.8,7867,1.26,6.3,0,58
Zambia,Africa,2014,4.22,22.4,1341,15.4,6.9,0,60.8
Eswatini,Africa,2015,7.49,26.8,3680,1.1,6.5,0,55.4
Togo,Africa,2000,1.08,22,506,4.92,4,0,53.5
Dominican Republic,Central America and Caribbean,2014,5.23,26.3,6547,10.17,7.8,0,73
"Egypt, Arab Rep.",Africa,2001,0.13,27.8,2652,70.15,4.9,0,68.8
Papua New Guinea,Oceania,2014,1.35,25.4,2565,7.95,4.3,0,63.2
Ireland,European Union,2000,13.84,26.3,41623,3.81,10.8,1,76.5
Bhutan,Asia,2010,0.23,23.3,2235,0.69,2.3,0,68.4
Comoros,Africa,2001,0.1,22.9,1188,0.56,3,0,59.5
Chile,South America,2014,7.92,27.8,13367,17.76,10.1,0,79.5
Syrian Arab Republic,Middle East,2006,0.75,27.4,1550,19.06,6.2,0,74.4
Cambodia,Asia,2009,1.42,21.5,855,14.09,3.7,0,66
Serbia,Rest of Europe,2004,9.17,25.5,4162,7.46,10,0,72.7
Belgium,European Union,2002,11.29,25.6,36393,10.33,10.3,1,78.1
Belize,Central America and Caribbean,2004,6.07,27.8,4830,0.28,10.3,0,69.7
Costa Rica,Central America and Caribbean,2000,4.24,25.8,7678,3.96,8,0,77.5
Romania,European Union,2007,11.06,25.6,7450,20.88,10.5,1,72.6
Cuba,Central America and Caribbean,2008,4.25,25.1,6501,11.24,10.6,0,78.2
Honduras,Central America and Caribbean,2014,2.42,26.5,2256,8.96,6.2,0,74.3
Trinidad and Tobago,Central America and Caribbean,2007,6.03,26.7,18076,1.31,10.5,0,71.2
Botswana,Africa,2004,4.91,23.9,4860,1.77,8.1,0,51.2
St. Vincent and the Grenadines,Central America and Caribbean,2005,6.37,26,6465,0.11,7.9,0,71.3
Bolivia,South America,2003,2.32,25.1,2083,8.91,7.1,0,64.2
Paraguay,South America,2002,4.81,25.1,3725,5.53,6.5,0,71
"Bahamas, The",Central America and Caribbean,2014,9.22,27.8,31689,0.37,11.1,0,72.8
Costa Rica,Central America and Caribbean,2004,4.08,26.2,8395,4.23,7.9,0,78
Malta,European Union,2001,5.99,26.9,16860,0.39,8.2,1,78.8
Malawi,Africa,2000,1.36,21.7,294,11.15,3,0,45.1
Finland,European Union,2006,10.15,25.9,44074,5.27,12,1,79.2
Montenegro,Rest of Europe,2007,9.68,25.8,5798,0.62,10.8,0,74.3
"Egypt, Arab Rep.",Africa,2004,0.14,28.1,2759,74.17,5.4,0,69.3
United Arab Emirates,Middle East,2010,1.69,28,32535,8.55,9.9,0,76.3
Iceland,Rest of Europe,2006,7.2,25.9,50732,0.3,10.2,1,81.2
Malaysia,Asia,2013,0.55,25.4,9179,29.47,10.1,0,75.1
Antigua and Barbuda,Central America and Caribbean,2002,6.67,25.3,13171,0.08,9,0,74.4
Central African Republic,Africa,2002,1.6,21.7,477,3.8,3,0,44.1
Timor-Leste,Oceania,2013,0.48,21,1287,1.15,4.5,0,68
Serbia,Rest of Europe,2010,8.87,25.8,5206,7.29,10.4,0,74.3
Hungary,European Union,2001,13.18,26,9357,10.19,10.3,1,72.2
Malaysia,Asia,2005,0.49,24.5,7275,25.69,7.6,0,73.6
Botswana,Africa,2015,6.14,24.3,6403,2.12,9.2,0,67.3
Chad,Africa,2005,0.46,21.3,676,10.1,1.5,0,48.5
Malawi,Africa,2002,1.25,21.9,271,11.71,3.2,0,45.5
Sierra Leone,Africa,2012,3.19,22.6,627,6.71,3.2,0,51
Mali,Africa,2005,0.55,22.1,688,12.78,1.7,0,52.1
Bangladesh,Asia,2007,0.004,20.8,856,142.66,4.7,0,68.6
Latvia,European Union,2015,10.8,26.6,13786,1.98,12.8,1,74.5
Angola,Africa,2002,2.08,21.9,2031,17.52,4.4,0,47.7
Jamaica,Central America and Caribbean,2003,3.43,25.9,5083,2.71,7.8,0,74.1
Zambia,Africa,2005,2.41,21.8,918,11.86,6.3,0,48.5
Kyrgyz Republic,Asia,2002,5.84,24.9,742,4.99,10,0,68.2
Zimbabwe,Africa,2000,1.89,23.3,1697,11.88,6.5,0,44.6
China,Asia,2003,2.89,22.6,2797,1288.4,6.7,0,72.4
Nepal,Asia,2015,0.24,22.4,902,27.02,4.7,0,69.5
Chad,Africa,2004,0.42,21.2,598,9.73,1.4,0,48.3
Afghanistan,Asia,2014,0.01,23.2,565,33.37,3.5,0,63
Cuba,Central America and Caribbean,2001,4.05,24.6,4222,11.16,9.7,0,76.9
Tanzania,Africa,2014,7.43,23.1,920,49.96,5.6,0,62.3
Ecuador,South America,2013,3.78,26.9,6084,15.71,8.3,0,75.7
Djibouti,Africa,2011,0.39,23.9,1452,0.85,4,0,60.7
Slovenia,European Union,2003,11.55,25.6,17803,2,11.5,1,76.9
Grenada,Central America and Caribbean,2004,8.68,25.8,7578,0.1,7.7,0,73.1
"Congo, Dem. Rep.",Africa,2015,4.47,21.9,497,76.24,6.4,0,59.3
Cuba,Central America and Caribbean,2002,4.1,24.7,4269,11.2,9.5,0,77.1
Maldives,Asia,2013,1.16,25,8955,0.42,5.7,0,77
Cote d'Ivoire,Africa,2004,0.85,23,1583,17.97,3.6,0,49.8
Nigeria,Africa,2001,11.17,22.4,1499,125.39,5.2,0,46.5
Nicaragua,Central America and Caribbean,2008,3.59,26.5,1709,5.67,5.8,0,71.9
Grenada,Central America and Caribbean,2006,9.26,26,8195,0.1,7.9,0,73.1
Iraq,Middle East,2007,0.15,27.7,3627,27.91,6.1,0,68.1
Myanmar,Asia,2007,0.75,21.8,682,49.62,3.8,0,62.3
Panama,Central America and Caribbean,2007,5.46,26.2,9169,3.45,9.2,0,76.2
Bahrain,Middle East,2011,1.66,25,20774,1.28,8.6,0,76.2
Djibouti,Africa,2001,1.33,23.6,781,0.73,3.3,0,57.1
Japan,Asia,2004,7.69,22.6,32515,127.76,11.1,1,82
Namibia,Africa,2004,1.89,23.3,3647,1.91,5.9,0,50.6
Cabo Verde,Africa,2001,3.86,23.4,1983,0.44,3.7,0,69.1
Uganda,Africa,2003,11.37,21.4,573,25.98,4.3,0,49.4
Kazakhstan,Asia,2007,3.99,25.9,8438,15.48,11.6,0,66.3
St. Lucia,Central America and Caribbean,2012,9.62,29.1,10531,0.18,8.4,0,75.1
Cabo Verde,Africa,2000,3.49,23.3,1974,0.43,3.5,0,68.6
Germany,European Union,2008,11.37,26.2,38278,82.11,13.7,1,79.7
Belarus,Rest of Europe,2015,9.79,26.6,5967,9.46,12.2,0,73.6
Honduras,Central America and Caribbean,2010,2.69,26.1,2121,8.32,5.4,0,73.3
Senegal,Africa,2005,0.34,22.5,1134,11.09,2.4,0,60.6
Cameroon,Africa,2007,5.22,23.8,1249,18.73,5.2,0,53.7
Philippines,Asia,2012,4.96,22.9,2611,97.21,9.1,0,70.1
Maldives,Asia,2009,1.41,24.4,8222,0.35,4.7,0,75.5
Nicaragua,Central America and Caribbean,2006,3.64,26.4,1616,5.51,5.6,0,71.4
Mongolia,Asia,2003,1.67,24.6,1784,2.47,8.4,0,64.2
Iraq,Middle East,2001,0.19,27.1,4284,24.21,5.2,0,69
Haiti,Central America and Caribbean,2011,2.36,24.7,1343,10.1,4.8,0,60.9
Uruguay,South America,2013,6.42,27,15168,3.39,8.5,0,77.1
Azerbaijan,Asia,2007,0.95,26.1,4327,8.58,10.2,0,69.8
Pakistan,Asia,2002,0.014,22.7,1040,149.55,3.8,0,63.3
Singapore,Asia,2000,2.02,23.4,34891,4.03,8.9,0,78
Angola,Africa,2015,6.53,23.2,3128,27.88,5,0,59.4
Azerbaijan,Asia,2004,0.63,25.9,2078,8.31,10.6,0,68.2
Solomon Islands,Oceania,2014,0.95,26.1,2195,0.59,5.3,0,71.9
Ukraine,Rest of Europe,2015,6.04,26.5,2125,45.15,11.3,0,71.2
Senegal,Africa,2006,0.37,22.5,1130,11.38,2.4,0,61.4
Bhutan,Asia,2012,0.32,23.5,2479,0.7,2.5,0,69.3
Azerbaijan,Asia,2012,0.52,26.6,5195,9.3,10.7,0,71.5
Serbia,Rest of Europe,2003,9.1,25.4,3808,7.48,9.9,0,72.4
Niger,Africa,2009,0.1,21.5,424,15.84,1.4,0,56.6
Haiti,Central America and Caribbean,2010,2.28,24.6,1297,9.95,4.7,0,60.5
Slovak Republic,European Union,2006,10.89,25.8,12396,5.37,10.9,1,74.2
"Bahamas, The",Central America and Caribbean,2007,9.92,27.3,35697,0.34,10.9,0,72
Finland,European Union,2005,9.95,25.9,42531,5.25,12,1,78.8
Denmark,European Union,2004,11.26,25.1,50792,5.4,12.8,1,77.5
Tunisia,Africa,2010,1.26,25.9,3955,10.64,6.7,0,75
Thailand,Asia,2007,6.12,23.5,4827,66.18,7.1,0,72.9
France,European Union,2009,12.66,25,35131,64.71,10.8,1,81.4
Samoa,Oceania,2013,1.84,31.8,3961,0.19,10.3,0,72.4
Nepal,Asia,2005,0.22,21.2,616,25.74,2.8,0,65.3
Panama,Central America and Caribbean,2013,6.21,26.7,12695,3.84,9.7,0,77.4
Ireland,European Union,2011,11.49,27.2,46221,4.58,10.9,1,80.7
"Yemen, Rep.",Middle East,2001,0.08,22.4,2404,17.92,1.3,0,61.2
Germany,European Union,2007,11.51,26.2,37842,82.27,13.7,1,79.5
Tajikistan,Asia,2010,0.68,25.2,783,7.53,10.9,0,68.7
Nicaragua,Central America and Caribbean,2005,3.65,26.3,1573,5.44,5.5,0,71.2
Costa Rica,Central America and Caribbean,2015,3.19,27.3,11643,4.85,8.8,0,79.6
Chad,Africa,2002,0.4,21.1,421,9.02,1.4,0,47.9
Libya,Africa,2011,0.01,27.7,6670,6.25,7.3,0,72
Norway,Rest of Europe,2004,6.22,26,71655,4.59,12.7,1,79.8
France,European Union,2011,12.35,25.1,36246,65.34,10.9,1,82.1
Honduras,Central America and Caribbean,2007,2.94,25.7,2141,7.81,5,0,72.5
Iraq,Middle East,2006,0.035,27.6,3620,27.45,5.9,0,68.2
St. Lucia,Central America and Caribbean,2008,12.05,28.4,10528,0.17,7.8,0,74.6
Paraguay,South America,2009,6.06,25.9,4350,6.16,7,0,72.5
Sweden,European Union,2009,7.31,25.7,46043,9.3,12.2,1,81.4
Bulgaria,European Union,2002,10.8,25.4,4260,7.84,10,1,71.9
Slovenia,European Union,2004,10.01,25.6,18568,2,12,1,77.2
Montenegro,Rest of Europe,2011,9.02,26.1,6169,0.62,11.1,0,76
Madagascar,Africa,2006,0.59,20.9,482,18.88,5.7,0,61.7
Zimbabwe,Africa,2011,3.91,23.7,1249,12.89,7.3,0,52.9
Romania,European Union,2011,9.58,26.2,7810,20.15,10.8,1,74.4
Senegal,Africa,2013,0.19,22.9,1141,13.78,2.8,0,65.9
Netherlands,European Union,2005,9.5,25.3,42202,16.32,11.6,1,79.3
Romania,European Union,2002,13.15,25,5225,21.73,9.6,1,71
Estonia,European Union,2005,16.58,25.8,14631,1.35,12.1,1,72.6
Liberia,Africa,2000,4.47,23,776,2.85,3.5,0,51.7
Ethiopia,Africa,2012,0.54,20.4,518,92.73,2.4,0,63.3
Brunei Darussalam,Asia,2008,0.65,26.2,33981,0.38,8.7,0,74.5
Benin,Africa,2008,1.38,22.9,1001,8.7,2.8,0,58.7
Germany,European Union,2011,11.33,26.4,39977,80.27,13.9,1,80.4
Latvia,European Union,2012,10.2,26.4,12410,2.03,12.6,1,73.8
"Congo, Dem. Rep.",Africa,2005,2.28,21.1,364,54.79,4.3,0,53.7
Israel,Middle East,2015,2.74,27.2,35808,8.38,13,1,82.1
Seychelles,Africa,2002,8.13,25.6,10714,0.08,7.6,0,71.1
"Yemen, Rep.",Middle East,2005,0.038,22.8,2536,20.11,1.9,0,63.5
New Zealand,Oceania,2015,8.68,28,38631,4.61,12.4,1,81.5
Comoros,Africa,2003,0.26,23.1,1183,0.58,3,0,59.7
New Zealand,Oceania,2012,9.17,27.8,36521,4.41,12.1,1,81.2
Croatia,European Union,2009,11.11,26.6,11871,4.31,10.6,1,76.2
Turkiye,Middle East,2004,1.48,27,7195,67.01,5.9,0,72
Nepal,Asia,2011,0.25,21.9,754,27.04,3.3,0,68
Azerbaijan,Asia,2001,0.5,25.6,1615,8.11,10.6,0,67.1
France,European Union,2000,13.92,24.8,33597,60.91,9.8,1,79.1
Germany,European Union,2014,11.07,26.5,40851,80.98,14,1,81.1
Croatia,European Union,2003,12.99,25.9,10510,4.3,9.8,1,74.6
Kyrgyz Republic,Asia,2006,6.78,25.4,837,5.22,10.2,0,67.7
Vanuatu,Oceania,2006,1,25.8,2776,0.21,6.5,0,68.5
Tonga,Oceania,2014,0.28,32.1,4276,0.1,11.1,0,70.4
Sweden,European Union,2013,7.32,25.9,49049,9.6,12.2,1,82
Mauritania,Africa,2001,0.012,23.8,1252,2.7,3,0,60.8
Nicaragua,Central America and Caribbean,2010,3.33,26.7,1679,5.82,6,0,72.4
Tanzania,Africa,2008,4.96,22.7,765,41.85,5,0,56.8
Latvia,European Union,2007,12.12,26.1,13186,2.2,12.3,1,71
"Congo, Rep.",Africa,2004,0.9,22.4,2080,3.51,5.8,0,54.7
Seychelles,Africa,2006,6.43,25.9,11562,0.08,7.8,0,72.2
Rwanda,Africa,2007,7.84,21.5,512,9.27,3.1,0,58.9
Bosnia and Herzegovina,Rest of Europe,2001,4.11,24.8,2913,3.76,7.1,0,74.6
Italy,European Union,2009,7.25,25.7,31615,59.1,9.6,1,81.6
Sao Tome and Principe,Central America and Caribbean,2013,5.4,24.6,1486,0.19,5.2,0,68.7
India,Asia,2010,2.73,21.4,1244,1234.28,5.4,0,66.7
Guinea-Bissau,Africa,2003,3.07,22.4,550,1.28,2.3,0,51.5
Guatemala,Central America and Caribbean,2012,1.91,26.2,3732,14.78,4.6,0,72.2
Cyprus,European Union,2006,11.48,26.6,26394,1.05,10.9,1,78.8
Germany,European Union,2009,11.23,26.3,36190,81.9,13.8,1,79.8
Chad,Africa,2015,0.66,21.9,776,14.11,2.3,0,53.1
"Venezuela, RB",South America,2008,8.41,26.5,11433,27.64,8.2,0,73.1
Ireland,European Union,2013,10.51,27.3,46339,4.62,11.8,1,80.9
Solomon Islands,Oceania,2015,1.01,26.2,2167,0.6,5.4,0,72.2
Argentina,South America,2002,7.81,26.3,8943,37.68,9.2,0,73.9
Spain,European Union,2006,11.86,26.2,26763,44.4,9,1,80.8
Gabon,Africa,2011,8.01,24.8,7086,1.68,7.7,0,62.2
Montenegro,Rest of Europe,2014,8.55,26.4,6307,0.62,11.3,0,76.4
Serbia,Rest of Europe,2013,7.94,25.9,5525,7.16,10.4,0,75.2
Portugal,European Union,2013,9.52,25.7,18585,10.46,8.6,1,80.7
Somalia,Africa,2000,0,22.1,174,8.87,2.1,0,50.9
"Gambia, The",Africa,2006,3.25,22.9,686,1.59,2.5,0,58.3
Niger,Africa,2012,0.15,21.6,464,17.8,1.6,0,58.8
Cambodia,Asia,2007,1.29,21.3,825,13.68,3.7,0,64.7
Kiribati,Oceania,2006,0.69,29.3,1497,0.09,7.4,0,64.7
Equatorial Guinea,Africa,2003,7.87,22.9,8745,0.69,5.4,0,54.1
Israel,Middle East,2009,2.67,26.9,31323,7.49,12.6,1,81.4
Kuwait,Middle East,2002,0.011,28.4,29591,2.14,6.1,0,73.3
St. Vincent and the Grenadines,Central America and Caribbean,2004,5.77,25.9,6313,0.11,7.8,0,71.2
Zambia,Africa,2001,2.8,21.6,794,10.69,6,0,44.6
St. Vincent and the Grenadines,Central America and Caribbean,2009,6.98,26.5,7098,0.11,8.2,0,71.7
Dominican Republic,Central America and Caribbean,2013,5.41,26.2,6187,10.05,7.6,0,72.8
Jamaica,Central America and Caribbean,2014,3.2,27.5,4890,2.88,9.6,0,74
"Iran, Islamic Rep.",Middle East,2008,0.026,25.6,5260,72.12,8.6,0,73
Eritrea,Africa,2005,1.18,20.4,762,2.83,3.7,0,58.7
Lao PDR,Asia,2010,6.1,22.2,1586,6.25,4.6,0,64.3
Netherlands,European Union,2001,9.82,25.1,41087,16.05,11,1,78.2
Bangladesh,Asia,2011,0,21.2,1024,149.27,5.1,0,70.3
Mexico,North America,2002,4.92,26.9,8581,101.68,7,0,74.9
"Iran, Islamic Rep.",Middle East,2000,0.012,25,3923,65.62,6.2,0,70.2
Iraq,Middle East,2015,0.16,28.6,4688,35.57,6.6,0,69.9
Lebanon,Middle East,2007,1.59,26.9,7295,4.77,7.8,0,77.6
Pakistan,Asia,2006,0.034,23.1,1217,164.02,4.4,0,64.2
Guinea-Bissau,Africa,2015,3.13,23.4,603,1.74,2.9,0,57
Thailand,Asia,2004,6.1,23.2,4263,65,6.8,0,71.7
Guatemala,Central America and Caribbean,2010,2.03,26,3606,14.26,4.9,0,71.5
Kyrgyz Republic,Asia,2007,6.98,25.5,900,5.27,10.3,0,67.9
Austria,European Union,2012,12.1,25.5,44550,8.43,11.8,1,80.9
Mali,Africa,2013,0.58,22.8,701,16.45,2.2,0,56.6
Bahrain,Middle East,2005,1.92,25.3,22344,0.89,8.4,0,75.3
Russian Federation,Rest of Europe,2011,10.75,26.1,9124,142.96,11.6,0,69.7
Guinea-Bissau,Africa,2005,3.69,22.6,562,1.34,2.3,0,52.3
Turkmenistan,Asia,2006,2.54,25.3,3057,4.81,9.9,0,65.4
St. Lucia,Central America and Caribbean,2009,11.06,28.6,10099,0.17,7.9,0,74.7
Belarus,Rest of Europe,2012,13.56,26.4,6048,9.45,12,0,72
Portugal,European Union,2007,11.54,25.8,19951,10.54,7.7,1,78.3
Vanuatu,Oceania,2000,0.82,25.4,2837,0.18,6.5,0,67.4
"Micronesia, Fed. Sts.",Oceania,2012,2.89,29.4,3076,0.1,7.7,0,66.8
Pakistan,Asia,2007,0.034,23.2,1247,167.81,4.4,0,64.4
Malawi,Africa,2005,1.45,22.1,289,12.63,3.4,0,47.8
Indonesia,Asia,2002,0.054,21.8,1968,217.36,7,0,66.3
Afghanistan,Asia,2013,0.01,23,569,32.27,3.5,0,62.5
United States,North America,2000,8.3,27.5,48746,282.16,12.7,1,76.6
Vanuatu,Oceania,2004,0.85,25.7,2553,0.2,6.5,0,68.2
Sao Tome and Principe,Central America and Caribbean,2006,5.68,24.1,1282,0.16,4.5,0,65.3
Zambia,Africa,2011,2.79,22.2,1244,14.02,6.7,0,57.1
Papua New Guinea,Oceania,2008,0.77,24.9,1991,6.98,3.8,0,61.4
Dominican Republic,Central America and Caribbean,2001,6.36,25,4249,8.6,6.5,0,69.7
